star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag
303,0.000272727264106,0.000272727264106,0.8440806553866814,14.226454088140471,1.4425225336932736e+17,1.0143384,,15.2533655
304,-0.0018625762120448,0.0018625762120448,0.8419453519105304,14.226454088140471,1.4451228786917914e+17,0.99379027,,17.618279
305,-0.0034395587047245,0.0034395587047245,0.8403683694178508,14.171678975697512,1.4573219602092685e+17,0.89454156,,10.151242
306,-0.0025555033809453,0.0025555033809453,0.84125242474163,14.226454088140471,1.458305335922843e+17,1.0684454,,16.144054
307,-0.0023822108692841,0.0023822108692841,0.8414257172532912,14.226454088140471,1.4621505342457114e+17,1.0985235,,14.522903
308,-0.0015022189253505,0.0015022189253505,0.8423057091972248,14.226454088140471,1.467170148403452e+17,1.0184518,,15.672466
309,0.0007757399265819,0.0007757399265819,0.8445836680491573,14.226454088140471,1.4925248435836237e+17,1.0984674,,11.743705
310,0.0033384478060891,0.0033384478060891,0.8471463759286645,14.267154858687086,3.2768577066468403e+18,1.2636465,,13.416778
311,-0.0005757851840291,0.0005757851840291,0.8432321429385462,14.226454088140471,3.284773915487856e+18,0.8929142,,5.622957
312,-0.00071189842544,0.00071189842544,0.8430960296971353,14.226454088140471,3.2853834228865203e+18,1.1228719,,15.119113
313,-0.0041876286952425,0.0041876286952425,0.8396202994273327,14.166734701082556,3.2854554752562934e+18,1.0131881,,17.65235
314,-0.0062753870270475,0.0062753870270475,0.8375325410955278,14.097148403769236,3.2872890483358715e+18,1.105959,,16.610102
315,-0.0058262480235872,0.0058262480235872,0.8379816800989881,14.112516021605911,3.2874713611073014e+18,1.0379233,,14.581472
316,-0.0004130111315777,0.0004130111315777,0.8433949169909976,14.226454088140471,3.300228444769146e+18,0.98455197,,10.650703
317,0.0009371443831945,0.0009371443831945,0.8447450725057699,14.226454088140471,3.3002354885155727e+18,1.2404491,,13.791694
318,-0.0025889886608601,0.0025889886608601,0.8412189394617152,14.166734701082556,3.3007183802781e+18,1.179993,,15.339357
319,-0.0057965281254136,0.0057965281254136,0.8380113999971617,14.097148403769236,3.3011800334265257e+18,1.1627308,,12.060176
320,-0.00521270075218,0.00521270075218,0.8385952273703953,14.166734701082556,3.304337251002414e+18,1.1396561,,10.703841
321,0.0041942654757575,0.0041942654757575,0.8480021935983328,14.267154858687086,3.30624040255134e+18,1.071299,,12.984765
322,-0.0019976177529922,0.0019976177529922,0.8418103103695831,14.166734701082556,3.306297852033722e+18,1.1302125,,13.464093
323,-0.0071068444805054,0.0071068444805054,0.8367010836420699,14.097148403769236,3.3063161314145864e+18,1.014543,,15.266762
324,-0.0019578542171297,0.0019578542171297,0.8418500739054455,14.226454088140471,3.307489031146702e+18,1.363789,,12.256755
325,-0.0020426321453633,0.0020426321453633,0.841765295977212,14.226454088140471,3.307992336891316e+18,1.276057,,9.665218
326,-0.0021258643835369,0.0021258643835369,0.8416820637390384,14.226454088140471,3.31142642094187e+18,1.2397223,,13.910441
327,-0.0021221893263718,0.0021221893263718,0.8416857387962035,14.226454088140471,3.31190677008402e+18,1.2354041,,13.256185
328,-0.0024509279555503,0.0024509279555503,0.841357000167025,14.226454088140471,3.312904233289409e+18,1.2212473,,13.074519
329,-0.0023651039843018,0.0023651039843018,0.8414428241382734,14.226454088140471,3.314212068010812e+18,0.9934814,,6.797135
330,-0.0022623959173463,0.0022623959173463,0.841545532205229,14.226454088140471,3.3142947719013043e+18,1.0239731,,14.972231
