realization,purity,contamination,cluster_median,field_median,delta
4,0.9,0.09999999999999998,0.8093405851025004,1.0036317661922465,0.19429118108974608
5,0.9,0.09999999999999998,0.8350188038565743,1.0045486622168147,0.16952985836024037
6,0.9,0.09999999999999998,0.8105919229513626,0.9911527321421212,0.18056080919075856
7,0.9,0.09999999999999998,0.8253073952741988,0.9894840495309627,0.16417665425676387
8,0.9,0.09999999999999998,0.7862599120585703,0.9738044447072243,0.187544532648654
9,0.9,0.09999999999999998,0.8151003109474462,1.0118980482207323,0.1967977372732861
10,0.9,0.09999999999999998,0.8095652803387513,0.9762728572258503,0.16670757688709903
11,0.9,0.09999999999999998,0.7888081474314075,0.9914904884585387,0.20268234102713123
12,0.9,0.09999999999999998,0.80615148674219,1.0070511942768818,0.20089970753469188
13,0.9,0.09999999999999998,0.8144914738938227,0.9817406147783261,0.16724914088450338
14,0.9,0.09999999999999998,0.7913694955071596,0.9985536269703978,0.20718413146323822
15,0.9,0.09999999999999998,0.8033400398981299,0.992308933719737,0.1889688938216072
16,0.9,0.09999999999999998,0.7796132846418682,0.9768169128494828,0.1972036282076146
17,0.9,0.09999999999999998,0.7888716261168366,0.9651196033671251,0.1762479772502885
18,0.9,0.09999999999999998,0.8387143423301353,0.9426411439959207,0.10392680166578538
19,0.9,0.09999999999999998,0.8330402511570617,1.0117249031260585,0.17868465196899674
20,0.9,0.09999999999999998,0.8162089686782745,0.9710777591949544,0.1548687905166799
21,0.9,0.09999999999999998,0.7520141697365565,1.005590901625748,0.2535767318891915
22,0.9,0.09999999999999998,0.7865893859442966,0.9861042377585012,0.19951485181420459
23,0.9,0.09999999999999998,0.790746281159277,1.0168241066645347,0.22607782550525768
24,0.9,0.09999999999999998,0.8424807025709404,1.001124361571088,0.15864365900014765
25,0.9,0.09999999999999998,0.8609250543729317,0.9938999024561571,0.13297484808322546
26,0.9,0.09999999999999998,0.8214749335391656,0.987951047883042,0.16647611434387644
27,0.9,0.09999999999999998,0.8086139669757364,0.9499825846236851,0.14136861764794872
28,0.9,0.09999999999999998,0.8149293318473236,0.9725383102530087,0.1576089784056851
29,0.9,0.09999999999999998,0.8084569611483252,1.0168013061171126,0.2083443449687874
30,0.9,0.09999999999999998,0.827426751450751,0.9597654633152155,0.13233871186446455
31,0.9,0.09999999999999998,0.8428035580183069,0.9969867240523947,0.15418316603408788
32,0.9,0.09999999999999998,0.8201301107197412,0.9480179405422859,0.12788782982254476
33,0.9,0.09999999999999998,0.8396043789142034,0.996069852792657,0.15646547387845366
34,0.9,0.09999999999999998,0.7840624979445656,1.0296875690750893,0.24562507113052368
35,0.9,0.09999999999999998,0.8538734988703393,0.988843347139761,0.1349698482694217
36,0.9,0.09999999999999998,0.8594345069986594,0.9997111787064971,0.14027667170783764
37,0.9,0.09999999999999998,0.8212794825356282,0.9562865534757674,0.1350070709401392
38,0.9,0.09999999999999998,0.8030301387553311,0.9841040777038892,0.18107393894855806
39,0.9,0.09999999999999998,0.8048072107244018,0.9836646734539438,0.17885746272954206
40,0.9,0.09999999999999998,0.7935770401314404,0.9816332019816539,0.18805616185021357
41,0.9,0.09999999999999998,0.8116967431434194,0.9895349033407579,0.17783816019733845
42,0.9,0.09999999999999998,0.8286136738854311,1.0186115990395035,0.18999792515407243
43,0.9,0.09999999999999998,0.8565077932584833,0.9636639028292211,0.10715610957073785
44,0.9,0.09999999999999998,0.8184467201290215,0.9533096147326914,0.13486289460366985
45,0.9,0.09999999999999998,0.7937427332817364,0.975889683133116,0.18214694985137958
46,0.9,0.09999999999999998,0.8643033186403928,1.0045172696160511,0.14021395097565836
47,0.9,0.09999999999999998,0.8776354740379979,0.9926603094859909,0.11502483544799302
48,0.9,0.09999999999999998,0.8056364026889488,0.9759978849720695,0.17036148228312076
49,0.9,0.09999999999999998,0.8204098659223058,0.9379617542647971,0.1175518883424913
0,0.8,0.19999999999999996,0.8278340469883534,0.962496734296044,0.1346626873076906
1,0.8,0.19999999999999996,0.9040644166390077,1.0108093253571109,0.10674490871810316
2,0.8,0.19999999999999996,0.9385513576404054,0.9969516986846652,0.05840034104425973
